step,loss,grad_norm,sigma_min,sigma_mean,rho_max,rho_min,rho_mean,eos_mean
86,3.5801401138305664,1.2175885438919067,0.3142532706260681,0.9737609028816223,0.7974686622619629,-0.7716054320335388,0.01440480537712574,0.3369487226009369
87,3.5740878582000732,1.2179827690124512,0.3080628216266632,0.9721022248268127,0.7791848182678223,-0.7571710348129272,0.016701919957995415,0.3347076177597046
88,3.5472066402435303,1.2036302089691162,0.29609084129333496,0.9684863090515137,0.827303946018219,-0.7000818252563477,0.018984315916895866,0.3273735046386719
89,3.5145323276519775,1.179083228111267,0.2850203514099121,0.9663134217262268,0.7739310264587402,-0.7739310264587402,0.01927138678729534,0.3205634355545044
90,3.5131139755249023,1.1705880165100098,0.29212868213653564,0.9623872637748718,0.7991787195205688,-0.7844805717468262,0.021571902558207512,0.3109038174152374
91,3.5035109519958496,1.1677528619766235,0.2989364564418793,0.9637171030044556,0.8042972683906555,-0.7644989490509033,0.02232142724096775,0.31776872277259827
92,3.4854509830474854,1.1696503162384033,0.30365729331970215,0.9581893086433411,0.7935470342636108,-0.7101191878318787,0.025462213903665543,0.3045268952846527
93,3.4802260398864746,1.1564381122589111,0.2752898931503296,0.955583393573761,0.7964125871658325,-0.7964125871658325,0.026358595117926598,0.29972362518310547
94,3.4715113639831543,1.1131744384765625,0.273109495639801,0.9538251161575317,0.7604580521583557,-0.7604580521583557,0.02875107154250145,0.29786211252212524
95,3.438133955001831,1.0951794385910034,0.2719334065914154,0.9506241679191589,0.8038492798805237,-0.8038492798805237,0.030660921707749367,0.292290061712265
96,3.4337878227233887,1.0843331813812256,0.254125714302063,0.9452522993087769,0.763472318649292,-0.7604781985282898,0.03289918228983879,0.2823493182659149
97,3.4566986560821533,1.0508379936218262,0.2592231333255768,0.9462443590164185,0.7959833741188049,-0.7959833741188049,0.03394581750035286,0.28668639063835144
98,3.4439642429351807,1.0327478647232056,0.25101688504219055,0.939777672290802,0.7905626893043518,-0.7592238783836365,0.03750213235616684,0.2741127908229828
99,3.419508934020996,1.0127297639846802,0.2747081220149994,0.935567319393158,0.8072013854980469,-0.8072013854980469,0.04208603501319885,0.26707571744918823
100,3.377027988433838,1.028915286064148,0.2504388093948364,0.9334806203842163,0.807751476764679,-0.7564166188240051,0.04253743588924408,0.26758572459220886
101,3.4077866077423096,1.0158251523971558,0.2495812326669693,0.9241388440132141,0.7993532419204712,-0.743525505065918,0.04820116236805916,0.24905262887477875
102,3.3719379901885986,0.9702743291854858,0.2653157413005829,0.9220625162124634,0.8381339311599731,-0.7797036170959473,0.05186709761619568,0.24822209775447845
103,3.359382390975952,0.9814303517341614,0.2621879577636719,0.9091383218765259,0.8297051191329956,-0.7252115607261658,0.06015020236372948,0.21814091503620148
104,3.3448920249938965,0.9498055577278137,0.2643832564353943,0.9113974571228027,0.8040630221366882,-0.76167893409729,0.061132919043302536,0.22995664179325104
105,3.330199718475342,0.9182988405227661,0.23906879127025604,0.9119205474853516,0.800589382648468,-0.7722321152687073,0.06092919781804085,0.23675012588500977
106,3.3341848850250244,0.9235339164733887,0.22186146676540375,0.9022281169891357,0.8130480647087097,-0.732897162437439,0.06822386384010315,0.21903347969055176
